-12;-21;-13;25;42;21;-4;12
11;4;-1;7;14;38;-19;29
-7;3;2;-2;6;47;34;-14
6;5;2;9;4;-2;32;23
-30;-10;-3;-9;-7;-39;-49;-35
-24;-4;-9;-15;-4;-31;-76;-40
25;1;13;-8;-25;30;26;52
0;-4;-10;9;42;24;-10;-5
6;-9;-13;26;-6;-8;-20;-16
-17;1;-4;-19;-52;-12;3;-17
-31;-8;6;2;-35;-53;-35;-44
11;-1;3;-14;-30;-12;11;14
20;-4;3;27;0;35;38;20
4;16;1;-8;-12;-25;-32;-21
23;6;-8;-5;2;12;-8;42
31;7;-3;-7;42;26;37;53
-20;-14;-8;-9;-2;-1;-11;-26
-19;9;6;-4;5;-23;-17;-20
-18;4;2;5;-17;-47;-22;-17
27;5;-10;-11;-29;-26;-17;12
12;-2;0;2;-6;9;20;26
27;10;-4;-2;21;3;-3;43
-17;-1;-1;-11;-31;-23;-27;-34
28;12;-1;-1;-6;1;15;33
18;-14;-4;5;29;38;19;13
-21;3;-3;0;-8;-20;-27;-29
2;8;11;8;8;54;37;2
-28;16;-17;-28;-48;-63;57;-28
-9;-28;4;21;46;26;56;2
-7;2;-5;-1;-13;-65;-29;-36
1;16;-1;-30;-18;-9;-58;3
-10;-13;-14;20;15;4;-11;-6
-4;16;10;5;14;-16;-18;-24
-16;4;11;-3;-16;5;-29;-38
-41;-23;-6;-3;18;-16;31;-29
127;31;12;11;0;-4;83;127
-31;-20;-3;0;-9;-5;-81;-42
-11;18;5;-11;-35;11;91;-8
5;5;3;17;11;-40;-22;22
-16;1;-6;31;-4;-10;-46;-18
0;-13;-4;3;21;-28;-3;-5
1;2;-1;0;45;4;33;1
4;-3;-1;6;-1;6;16;1
3;7;0;-7;-4;-6;-13;-6
-85;-14;-17;-6;-38;-51;1;-99
126;11;18;9;9;-4;2;116
87;9;3;15;4;39;68;127
-98;-23;-17;26;0;24;-6;-128
50;20;14;-20;23;-22;-128;42
55;-8;-3;50;55;127;96;86
-29;12;1;-3;-20;-48;-62;-32
14;-12;0;2;-1;-8;-24;-12
-23;-15;-24;-9;-19;-31;-25;-26
-20;12;11;25;12;-4;-38;-21
-5;0;3;2;-16;-19;14;-11
0;0;3;18;26;17;8;1
3;-5;-11;-7;4;1;-6;-4
-68;-7;-3;-6;15;-22;-50;-102
104;-2;8;9;-25;-22;10;99
97;-8;6;-14;12;28;49;127
-32;-5;-11;18;-11;-39;-39;-34
-23;2;1;19;-9;15;11;-33
-62;2;-4;-14;-10;-14;-36;-74
3;18;2;-26;-5;33;4;-25
127;-15;-35;7;-8;11;0;127
-82;-28;-8;-35;-34;-93;-73;-108
8;2;-16;-8;5;-15;121;47
-87;-22;-2;23;29;30;-16;-128
63;-11;16;-10;-10;-70;-35;127
