-8;41;-4;-1;-20;-50;11;2
0;-23;-43;-17;-9;64;10;5
9;-6;57;25;99;21;20;-1
-20;12;5;27;-1;75;-17;2
1;-49;-14;18;-49;-9;-9;-3
-11;3;-12;-41;-14;-17;-12;-9
108;15;0;-6;17;14;11;20
-2;9;12;9;19;10;1;1
-51;8;-5;9;-7;-15;-16;-18
-2;-15;-25;-20;-19;-31;-15;-5
-47;25;4;5;3;6;-2;-7
-73;-19;12;9;37;8;-12;-23
12;-24;7;18;9;-6;-21;5
-128;13;2;-4;-40;-35;23;-10
46;-36;-8;5;-15;-1;-7;-6
-43;13;-12;-36;-22;-57;-3;-24
-3;5;-17;-21;-29;-29;-19;3
-16;-3;4;2;9;85;-31;-6
-6;2;-15;-15;-19;-40;-32;1
-73;-11;0;-6;2;6;-7;-19
77;10;12;43;31;-72;20;4
-14;20;14;-9;-32;-13;-38;-19
-49;-82;-40;-24;-21;-24;-9;-4
5;9;-2;-6;6;8;19;1
-6;4;0;1;-56;1;3;0
-9;9;36;-2;10;-39;33;-7
-9;6;1;1;-45;-15;-8;-6
47;26;-22;-18;-35;-10;41;17
16;-33;-23;10;40;26;4;7
27;-34;-14;-24;-28;-37;18;6
36;21;10;9;39;21;-1;3
-39;-4;7;6;-16;-59;-73;-19
-4;-17;-15;-33;-25;-4;-18;-5
3;12;-5;8;4;-13;-1;-7
-2;-31;4;6;-3;-12;-5;-3
-18;-54;-8;-3;-11;-14;-19;9
84;26;3;-5;-24;27;16;13
20;5;6;3;13;-11;7;-3
-41;-16;-11;-13;8;-6;37;6
23;13;14;5;9;-37;8;1
-14;28;-14;-9;-5;-54;30;-7
-68;-39;-16;-8;-21;1;25;-2
33;-14;-4;-9;-5;6;4;8
-11;-2;-4;5;13;11;-6;-1
-9;8;-8;-18;-24;-14;5;7
-26;-15;0;15;27;17;4;-2
30;27;2;-9;-7;2;2;0
-7;-27;14;11;0;47;38;9
7;14;-14;-5;17;28;15;6
-21;7;0;-17;-21;3;-13;-13
9;-31;-8;-9;-15;-10;-2;3
-10;7;3;-3;-14;-52;-26;-10
-7;-2;-6;-2;-8;-14;-6;-4
-18;9;10;17;24;-17;-68;-7
120;15;5;0;-2;35;-4;23
-48;-14;-5;-5;-8;1;7;-1
58;-3;1;-4;-2;3;-3;3
-17;7;-8;-10;-14;-6;-1;-5
-36;10;11;14;22;3;-11;-9
7;25;3;-11;-4;-7;-55;-8
17;-75;-32;-19;-18;-19;-3;18
-11;-2;-18;-32;-62;-128;-37;-1
-25;-4;12;1;25;-3;13;-7
15;15;7;-11;-42;-52;-2;-1
34;11;7;5;25;-7;7;3
-2;8;1;9;20;7;10;4
-5;-3;-8;-30;-24;-14;-1;-1
1;-3;5;20;48;-1;-1;1
-1;-16;-1;-2;-15;8;2;1
12;24;6;5;27;58;23;12
-7;-62;-7;-5;-44;-15;-14;-6
-14;44;-7;-2;-1;-13;-17;-14
-41;-14;-11;11;-1;4;1;0
