-6;4;-5;-4;-20;-83;-46;-20
-5;-7;-9;9;116;-13;-13;-2
-12;1;-3;-10;-16;17;-8;-12
9;-1;-14;-44;-93;-57;-41;-6
-20;-31;-2;-4;-32;-46;-21;3
12;12;12;36;29;-11;-8;-7
7;-1;-2;-2;-30;-17;-10;-12
-14;4;3;-11;-50;4;13;-11
7;9;1;-3;-3;10;18;9
8;-23;-8;-6;-4;0;2;-1
-52;-21;-5;-18;-60;-20;-8;-23
-18;31;5;-19;-79;-70;-5;62
65;15;12;5;-18;58;10;-30
-26;4;6;8;-5;44;14;-6
-26;-23;-1;15;20;22;9;-1
14;7;-4;-20;-31;-13;-10;13
13;7;14;11;4;17;16;12
1;-6;-6;-19;-30;7;5;0
-1;0;2;-5;-34;-37;-15;-7
0;2;-2;11;20;14;12;6
7;-8;0;2;19;7;-2;-2
-2;0;-4;-17;-37;-6;-5;-4
-8;-12;-13;-30;-90;-10;-2;-4
5;12;9;6;25;12;1;4
-11;-11;-10;-36;-32;-1;-2;-6
28;10;7;11;-46;31;18;10
-2;5;6;12;18;6;1;18
-36;-12;-13;-31;-14;-9;-10;-13
-20;1;1;31;90;23;18;8
11;-6;3;6;21;50;7;35
12;12;-3;-11;-12;-32;-6;-38
3;17;4;11;92;51;4;23
28;1;-9;-21;-23;0;4;-7
-23;-14;1;4;5;-5;-21;1
-4;1;5;23;35;26;15;5
-6;-4;-5;-3;-30;-48;-24;-16
11;0;7;5;15;119;28;17
-3;-8;-14;-22;-32;-35;-10;-4
-22;-7;-3;12;41;39;-1;-12
-14;1;4;9;26;31;8;-8
19;6;-2;-5;23;43;7;9
-22;-12;2;-12;-71;-23;3;8
-20;-13;-15;1;14;30;-5;-25
-6;5;1;-10;-45;-45;-21;-17
9;-5;-5;3;17;-11;17;10
0;-22;-12;-13;-19;38;11;-7
-10;-10;-15;-33;-61;-51;-25;-18
33;23;15;50;79;-14;-21;5
-3;-7;-3;-3;63;12;21;14
-13;-12;-20;-36;-80;-32;-16;-19
10;-17;-15;-33;-83;20;-13;-12
6;18;-1;-2;13;-9;-1;-16
-5;-16;-4;-10;2;-2;-10;-23
-18;4;-15;-30;-26;-10;-2;5
3;0;4;0;-1;14;-13;12
-12;-1;0;-8;-54;-68;-41;-49
12;2;-10;-36;-7;-21;-3;13
-8;-18;2;22;29;-35;-5;-5
2;1;-3;-3;-8;-11;-10;-4
0;0;-10;-40;-128;-43;-19;-22
5;-2;4;8;57;39;9;5
-8;-6;-4;-3;-29;-38;-2;-5
10;2;-13;-26;-26;5;-36;-13
15;5;15;21;33;62;29;15
-3;-2;-6;-23;-102;-11;-24;-7
-38;-11;-14;-13;2;-19;-10;-16
38;4;4;9;-46;-26;2;20
-9;-13;-9;-22;5;-10;-14;-30
-11;12;3;22;58;9;-2;5
4;-14;15;9;73;55;16;4
-23;-4;-14;-25;-17;-2;-8;8
-6;-1;-3;-20;-108;-49;-4;2
1;-12;-2;22;50;-12;3;-4
0;-10;-10;-10;-31;-6;1;-1
1;-3;-5;-7;2;-4;-10;-6
-17;-10;4;10;22;-7;6;5
6;11;5;0;-8;11;2;7
-22;6;-6;-8;24;21;11;-3
16;2;2;-7;-41;-46;-16;-4
15;-27;2;-5;-83;8;-31;1
-32;-5;-4;1;-16;-27;-11;-14
-3;-4;-7;-12;-58;-29;-17;-6
7;-6;4;6;20;34;10;-3
-11;4;4;-2;6;-7;3;16
4;-2;8;23;14;6;4;2
60;20;2;0;2;93;-10;18
6;13;-1;-12;-49;-65;-3;-15
-41;-21;-6;-17;-30;-38;-16;5
-6;2;6;4;-2;-34;3;3
1;-14;-23;-20;28;15;-10;-12
-30;4;0;-10;-46;-76;-21;-14
29;6;3;4;-3;6;11;5
-20;-17;-8;-11;-16;3;2;-1
0;1;-7;-8;-2;0;-5;-4
0;6;5;0;10;10;0;-5
-30;-13;2;17;68;6;0;-5
33;18;-3;-10;-9;24;7;1
11;-27;-21;-45;-104;-58;-14;-6
20;5;10;28;-13;33;26;16
-6;-8;1;1;-37;-56;-12;1
-66;3;-5;-16;-2;-80;-17;-27
33;5;-16;-36;-31;45;8;10
-7;-6;-8;-5;4;1;-14;-13
-1;-4;-3;-8;8;-2;-7;-4
-2;0;-3;-5;-11;-33;-7;-6
-21;-25;-14;-20;-73;-15;-3;4
21;16;-1;-9;-11;27;14;13
10;2;4;6;-59;-24;-3;-15
-24;-13;-4;-3;-1;-22;-2;-16
12;-2;-7;-20;-17;0;-8;14
10;-4;-8;-21;-51;-27;2;1
-19;-17;2;4;-27;-34;0;-9
-30;5;3;9;9;-17;1;0
20;-23;-10;-17;-44;10;-5;-7
12;38;16;10;3;-3;0;28
-22;-3;1;3;119;33;2;-17
77;13;2;10;11;-8;10;-2
-41;-19;-12;-26;-47;-62;-32;-20
-8;7;-1;-7;-19;35;4;-10
-8;-12;-12;-28;-128;-35;10;1
11;-7;0;-9;-9;6;3;-4
3;2;2;11;24;-8;-3;5
-18;-8;2;11;4;-8;-39;-4
-9;-1;-6;-21;-19;-9;-9;-4
-8;-5;1;21;12;-9;-10;-2
8;12;2;-5;-18;-6;-2;-3
34;7;-12;-30;-68;-42;-40;8
-36;-24;-1;18;32;66;23;-38
-1;-1;-1;-8;21;40;9;8
-60;1;10;53;127;-22;-11;3
34;14;0;-10;-104;-43;-13;-5
7;1;-10;-17;-23;-29;-12;-25
-27;3;5;7;-7;-23;-2;-3
-9;-4;-10;-12;-8;2;0;-6
-10;1;-9;-1;28;-3;-10;-10
24;-5;7;2;-29;2;4;9
24;0;2;-8;-17;24;-20;8
-26;-1;5;1;9;4;-5;-6
3;11;-6;-19;-58;-33;-3;-5
-16;-8;7;32;42;-2;5;0
7;-3;5;4;15;4;6;2
-39;-18;-9;-4;16;-1;-8;-6
38;-1;-3;-14;-82;-11;-7;-1
-8;12;-1;2;24;-16;-5;-10
-29;9;-5;0;16;9;-15;8
46;-3;6;15;23;-19;-10;-5
-1;-10;-3;-10;-33;-69;-13;-10
-22;-10;-6;-3;-9;-53;-33;-10
18;-4;-6;-17;-68;-3;23;26
-20;-8;2;20;127;14;-1;-4
9;-3;-8;-11;-11;-30;-14;-4
-1;0;-5;-11;-30;-17;37;0
0;3;2;3;-3;-9;2;2
0;6;5;0;-24;-14;-12;-1
12;6;12;25;-12;40;15;17
17;8;9;22;43;86;48;17
-12;-10;-7;-18;-75;-28;-2;5
-15;0;5;9;14;-7;-10;-12
1;9;1;6;11;13;3;4
-3;1;-11;-31;-83;-31;-8;-5
2;-10;-2;3;-5;2;-8;-1
1;2;0;-13;-44;2;0;-5
13;7;4;7;3;6;16;8
-7;2;6;-14;-53;-11;11;1
-1;-8;-3;7;21;-56;-9;-10
-8;-3;-6;-4;-23;-6;-4;-6
-4;13;4;15;20;-76;-11;3
-10;-8;-5;0;-5;21;13;-7
40;6;6;19;44;62;20;8
-17;-7;-5;-14;-29;-22;-1;6
23;-11;-15;-35;-88;-23;-7;-7
-22;-16;-7;-4;34;34;-22;-2
8;27;8;28;66;10;-38;-6
-4;-7;0;0;-16;-28;-9;-10
14;-2;-9;-14;-7;16;-8;8
-17;-3;-2;-7;8;-1;5;8
38;1;10;28;94;38;19;16
-28;-6;-6;-9;-35;-44;-3;3
-19;-2;-3;-8;-13;39;8;-2
15;2;0;-11;-36;-6;-2;8
-7;-5;-5;-6;-16;-26;-8;-9
0;6;3;-1;-27;-14;3;-1
1;-1;-3;-1;17;-6;3;-1
4;-9;-3;7;22;0;-1;-1
-4;-9;-8;-15;-63;-15;0;-3
7;-2;2;1;2;-6;-2;3
-14;-7;-4;3;-12;1;-3;-6
2;6;4;20;50;-3;39;5
9;10;-2;-3;114;43;4;1
-29;-17;3;7;23;-50;2;16
4;15;-12;-26;-53;10;-7;-13
52;17;13;11;-23;2;23;20
-14;-17;-4;9;15;6;-3;-1
-28;-29;-7;-16;-31;-46;-12;-9
10;3;-3;-5;-6;28;2;-5
-7;11;-2;5;90;-57;3;1
7;4;2;8;47;110;27;10
-3;-1;0;13;78;11;-22;-19
1;-16;-6;-10;-28;-1;-7;21
-43;2;10;10;16;39;22;-3
5;-5;-6;-5;-37;-30;-6;-11
34;2;5;14;22;-22;-7;12
3;5;-2;12;127;-33;0;8
-30;-15;-11;-26;-21;-7;-12;-18
13;-5;-2;-2;-29;-6;8;4
-14;19;4;5;76;6;-15;-16
1;4;0;-1;-18;-20;-10;-7
-19;-12;-12;-7;18;11;-5;-8
8;0;5;8;-16;-10;3;9
1;-4;-9;-25;-86;-14;-1;-4
4;-6;1;8;21;13;6;12
9;8;9;20;93;27;8;7
1;2;3;14;3;-23;1;5
-1;3;-10;-20;-21;15;9;1
19;6;0;-11;-73;-53;-17;-4
-20;4;2;6;20;13;-1;-2
-19;-24;-1;-2;-22;-9;4;2
49;18;1;1;-9;-33;-14;3
-10;7;5;12;97;-16;1;13
-23;-17;-6;4;53;-1;1;8
-19;10;-16;-54;-68;-10;-25;-29
40;12;8;21;43;-15;3;-19
-4;-18;8;35;24;11;0;-1
-18;-7;-15;-37;-128;-41;-30;-23
18;10;7;16;21;4;4;10
21;2;-2;-10;-11;-12;-1;-3
-11;-9;-12;-16;-38;-50;-15;-2
-13;-9;-5;-21;-44;-26;-5;-1
22;6;7;-6;-66;13;6;4
-11;0;-3;0;-14;-10;-3;1
-28;-2;-5;-8;-33;-5;-4;-23
-5;-17;-12;-11;-39;-47;-28;8
4;-8;-1;-6;-64;19;12;6
-7;-10;-11;-5;-22;-22;-22;-15
6;11;1;-12;-57;-60;-24;-16
-6;-1;-9;-14;41;115;60;8
12;-16;4;-7;-92;15;15;2
-56;-25;-21;-19;-33;-82;-45;-30
24;-2;4;3;-119;-32;16;29
-11;-22;-26;-17;24;0;3;-9
-2;9;0;-18;0;4;2;3
-7;-7;-3;-8;-10;-20;-4;0
2;7;7;13;70;99;21;5
9;1;1;6;-13;-26;-11;-6
-15;4;3;0;-15;7;7;0
22;7;4;11;8;-33;-8;1
-28;-29;-7;-7;0;-3;-5;-6
43;46;6;1;12;14;7;2
-6;-24;-5;-4;-4;-31;-8;42
-73;-1;-1;-10;4;21;-7;-63
20;-11;-10;-3;-3;-60;-26;-36
13;-4;4;6;27;4;11;41
-25;-30;2;5;-10;-48;-38;-18
32;-9;-21;-18;-43;-37;-5;-5
-30;-15;4;9;-21;23;-1;-2
12;16;1;2;-24;17;-1;1
-16;-3;-10;-21;-27;6;-11;-10
0;0;8;35;98;-19;24;9
-8;-5;-4;-15;-19;-32;-16;-3
-13;-4;-10;-10;-43;-30;-30;-19
-11;-10;-11;16;68;46;0;-8
-5;-2;-3;-13;-23;16;27;6
9;5;-3;3;-2;-24;-9;-6
6;-6;-10;-37;-111;-63;-15;-14
-15;10;4;8;41;12;-10;3
-24;-9;1;-7;-59;58;11;5
36;-17;11;12;87;79;50;36
-30;19;4;18;43;23;1;-9
-16;0;-12;-20;-67;-22;-17;-13
5;-16;-2;-7;-37;-35;-20;-9
-16;35;6;-3;-18;-18;-8;-5
1;-27;-2;-3;-13;-13;-3;9
31;-13;-4;-6;-24;5;11;23
-7;-2;5;11;15;-11;-7;-5
26;-7;-7;-17;-54;27;11;13
-3;15;-2;-33;-89;-37;-15;-3
8;-7;11;33;80;70;18;-20
-15;-20;-9;-12;-36;-89;-34;-8
8;11;5;11;22;78;30;14
-4;-1;-7;-6;-3;2;-5;-2
6;11;16;44;127;49;13;8
0;-6;-7;-14;-8;70;27;9
-4;-9;-8;-6;7;11;-1;-3
-33;-2;-4;-17;-42;-45;-1;-7
51;2;4;11;-20;8;21;10
4;2;1;-1;-1;9;7;-2
25;18;-3;-3;-29;9;-3;-6
-51;-30;-2;-9;-59;-18;5;-13
-22;-22;-11;-8;25;-13;21;-4
-2;8;-9;-22;-33;-25;-20;-14
12;2;-10;-28;-65;-46;-21;-13
-5;6;0;-24;-116;-39;-10;-6
16;-11;9;52;127;26;11;14
-19;14;17;43;85;7;3;2
14;-9;-6;-15;-67;-34;-9;-5
-21;0;-12;-22;-27;-33;-9;-4
0;9;-13;-35;-68;-87;-21;-15
7;5;-3;-48;-128;-73;-3;1
7;-1;19;85;120;21;5;1
-6;-23;-18;-18;-71;-40;13;-6
0;5;-3;-21;-27;7;0;3
-6;0;-7;-10;-6;4;0;-3
6;2;-6;-10;-11;5;-28;1
-45;6;-4;2;3;-1;-5;-8
48;6;-5;-9;1;-9;-8;-11
-61;-47;-17;-18;-24;17;2;3
37;2;2;4;33;5;3;7
-30;5;-15;-31;-14;68;7;-3
-3;0;-6;-6;20;76;20;-28
-1;-2;-10;-20;1;-10;-24;-17
4;-9;1;3;18;-28;-13;0
3;-2;-6;19;97;23;-17;4
-2;-4;-11;-29;-33;-13;-17;-10
-2;-7;-6;-17;-47;-7;1;2
10;10;2;-3;-19;7;2;2
-22;-5;-5;5;112;15;-4;-6
16;-1;-1;0;9;10;-6;-4
-19;9;1;9;-12;-61;-15;-7
-17;-12;-1;4;-55;-25;-5;-3
40;17;5;1;46;31;7;15
-16;-8;12;45;123;29;35;15
5;10;-1;-54;-128;-12;-1;1
-2;2;9;41;95;38;3;-2
-4;-9;-9;-12;-32;-56;-16;-9
15;8;3;-5;-5;9;0;0
-2;15;6;0;58;39;65;21
24;-5;6;22;-44;-9;-11;-5
-15;-1;-1;-5;-1;50;10;21
10;18;2;-7;-20;-26;-5;-9
-12;-11;1;-6;-13;37;18;3
21;17;0;9;86;-26;0;0
-3;-18;-8;-4;-2;9;2;1
-25;35;1;1;-2;2;13;-11
52;-25;-3;18;66;11;11;16
-32;-1;1;4;7;-8;-17;-53
