33;14;6;2;-13;4;30;65
-17;-3;-3;6;23;-1;8;60
9;2;3;4;10;3;0;-6
-21;-20;-10;-9;-19;-16;-17;-35
4;10;1;-12;-8;-13;-6;-7
0;3;-1;1;5;0;-1;-3
-18;-10;1;-5;-12;-3;13;14
3;-8;0;6;-2;4;-1;2
-29;-2;-4;-5;-18;-7;11;-58
31;2;-4;-9;3;-39;45;83
-35;5;0;-4;-26;-1;18;21
13;3;-5;-7;1;4;1;46
-7;-6;-3;-6;-11;8;16;51
-4;-2;-1;-7;-15;-28;-22;-7
-31;0;-2;-6;-15;-5;-11;-115
-15;-9;2;5;-22;2;-5;-15
26;13;-1;-2;2;5;23;46
-3;-2;1;-2;-12;-29;-5;2
7;7;-2;-9;-1;-2;8;25
16;12;8;4;-23;62;42;87
21;8;4;2;-5;-5;6;113
-15;-8;-6;-2;10;8;15;6
19;-17;0;-1;-2;4;-11;-22
-24;-5;-5;-5;-22;-46;46;-4
27;3;1;3;6;-47;-16;-34
-6;-8;4;1;-3;24;49;2
-13;12;-1;-2;-13;2;5;-23
15;11;8;16;35;-18;3;-33
0;-5;-4;-7;-28;3;-5;7
-18;-6;1;0;3;-3;11;-6
-9;-7;-8;-6;8;-3;13;7
3;-2;1;8;3;-3;5;18
0;0;-3;-5;-18;-38;3;4
-1;2;4;2;15;10;28;29
-7;-2;1;8;20;-9;20;-14
8;-11;-2;-1;-12;-12;-11;-19
7;2;-4;-1;10;8;-30;-39
6;4;3;-7;-50;-11;-16;-7
-37;-18;-7;-6;-2;-15;-15;-128
18;13;7;7;13;52;27;17
-29;-3;-3;-4;-12;28;-10;-108
-3;3;-5;0;5;-6;-31;-35
-44;-13;-7;-13;-10;-8;-16;-53
35;-9;-2;-1;5;-13;0;35
-9;-3;-1;-3;-9;-1;-24;-7
18;7;-1;-7;-24;-17;14;11
-17;1;-4;-5;-2;6;-2;-6
8;-4;-4;-3;-1;5;16;9
-14;-3;-4;-1;0;36;-7;-47
9;15;2;5;24;11;46;-1
-29;-14;-5;-8;-3;-8;-28;-43
7;11;-1;0;-15;5;45;63
35;-5;-2;-4;0;-11;-28;127
-13;-6;-6;3;21;-62;-14;24
-6;-1;1;-10;-13;-36;-2;-1
7;6;4;18;41;9;0;-14
-28;10;4;8;21;10;0;-28
11;-6;-4;-6;-8;-3;0;8
-1;1;-4;-6;-10;0;6;20
19;1;-3;-2;-2;4;0;-20
-10;-5;-7;-16;-28;-7;1;-3
-4;7;6;18;16;4;19;7
7;12;1;6;15;22;3;4
7;2;-3;-3;5;0;-13;21
-32;-6;-1;-6;-7;-6;10;7
-14;-4;-4;-7;-4;8;46;0
-7;-10;0;-2;3;1;-3;53
-8;-19;-7;-12;-18;-9;-14;-7
-20;3;3;8;-12;1;-14;-37
47;13;-2;5;18;-40;-3;55
-47;-13;-10;-12;-11;-7;25;-99
11;-14;-4;-6;-14;-17;-70;-10
-8;-5;0;-3;-23;-1;6;10
-8;6;1;7;15;-56;-6;-26
-9;-2;-3;-2;9;2;-5;-34
-5;0;2;9;3;2;15;36
-29;-9;-6;-7;-10;-16;-26;-24
